repo,Stars,URL,Scorecard Score,Detailed Score,CVE Count,Average CVE Score,CVE Links,GitHub Commit (2024-09-01),CVE GitHub References,Commit / code contribution volume issues,Code submission frequency / update frequency issues,Meta Data-Other,Low test coverage / insufficient test suite capability,Test-Other,High developer concentration,Few new developers,Severe developer attrition,Developer-Other,High total vulnerability count (can directly refer to the repo’s security items),Takes a long time to resolve or close an issue / high labor cost,Too Many Open Issues,Issue-Other
repo:contiki-ng/contiki-ng,1442,https://github.com/contiki-ng/contiki-ng,7.3,"{'Binary-Artifacts': 10.0, 'CI-Tests': 1.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 10.0}",3,8.1,https://www.cve.org/CVERecord?id=CVE-2024-47181; https://www.cve.org/CVERecord?id=CVE-2024-41125; https://www.cve.org/CVERecord?id=CVE-2024-41126,https://github.com/contiki-ng/contiki-ng/tree/ab93da851f42be08168bbc3df94997f469d8e4dc,https://github.com/contiki-ng/contiki-ng/security/advisories/GHSA-crjw-x84h-h6x3; https://github.com/contiki-ng/contiki-ng/pull/2962; https://github.com/contiki-ng/contiki-ng/security/advisories/GHSA-qjj3-gqx7-438w; https://github.com/contiki-ng/contiki-ng/pull/2936; https://github.com/contiki-ng/contiki-ng/security/advisories/GHSA-444j-93j3-5gj4; https://github.com/contiki-ng/contiki-ng/pull/2937,,,The community is not very active and there are not many issues,1,Limited test-script capability; this CVE was reported externally; lack of out-of-bounds input checks caused the CVE vulnerability,1,,1,Several main developers are gradually becoming inactive; the most active one went into academia,1,,1,There are many unresolved open issues (open for more than a year)
repo:go-git/go-git,6876,https://github.com/go-git/go-git,7.3,"{'Binary-Artifacts': 10.0, 'CI-Tests': 1.0, 'Code-Review': 8.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 1.0, 'Security-Policy': 10.0, 'Token-Permissions': 9.0, 'Vulnerabilities': 2.0}",2,8.35,https://www.cve.org/CVERecord?id=CVE-2025-21614; https://www.cve.org/CVERecord?id=CVE-2025-21613,https://github.com/go-git/go-git/tree/9ddc20dce672b23b3ac72ab2fabb8ca7c6e8741c,https://github.com/go-git/go-git/security/advisories/GHSA-r9px-m959-cxf4; https://github.com/go-git/go-git/security/advisories/GHSA-v725-9546-7q7m,,,,,Lack of a dedicated test folder; this CVE was reported externally; a crafted response caused a DoS CVE vulnerability,1,1,1,A large loss of active developers in the past two years,,1,,Many open issues are unresolved
repo:open-telemetry/opentelemetry-dotnet,3569,https://github.com/open-telemetry/opentelemetry-dotnet,7.3,"{'Binary-Artifacts': 10.0, 'CI-Tests': 3.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 9.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2025-27513,https://github.com/open-telemetry/opentelemetry-dotnet/tree/685b73d3ac7a4d4f0b6d658650f93fb1ad166e40,https://github.com/open-telemetry/opentelemetry-dotnet/security/advisories/GHSA-8785-wc3w-h8q6; https://github.com/open-telemetry/opentelemetry-dotnet/commit/1b555c1201413f2f55f2cd3c4ba03ef4b615b6b5,,1,Low commit frequency; the community is not very active,,,1,,1,,,,,"An implementation issue caused a specific header to trigger high CPU usage, further leading to a DoS CVE vulnerability"
repo:michaelrsweet/htmldoc,237,https://github.com/michaelrsweet/htmldoc,7.2,"{'Binary-Artifacts': 10.0, 'Code-Review': 0.0, 'License': 10.0, 'Security-Policy': 10.0, 'Vulnerabilities': 9.0}",2,9.8,https://www.cve.org/CVERecord?id=CVE-2024-46478; https://www.cve.org/CVERecord?id=CVE-2024-45508,https://github.com/michaelrsweet/htmldoc/tree/2d5b2ab9ddbf2aee2209010cebc11efdd1cab6e2,https://github.com/michaelrsweet/htmldoc/issues/529; https://github.com/michaelrsweet/htmldoc/commit/683bec548e642cf4a17e003fb34f6bbaf2d27b98; https://github.com/michaelrsweet/htmldoc/issues/528; https://github.com/michaelrsweet/htmldoc/commit/2d5b2ab9ddbf2aee2209010cebc11efdd1cab6e2; https://github.com/michaelrsweet/htmldoc/blob/2d5b2ab9ddbf2aee2209010cebc11efdd1cab6e2/CHANGES.md,,1,Low commit frequency; the community is not very active,,Lack of a dedicated test folder; this CVE was reported externally; a buffer overflow caused a crash,1,1,,"There is only one main developer, who is probably quite old",,,,
repo:electron/electron,118491,https://github.com/electron/electron,7.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 9.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 0.0}",1,7.8,https://www.cve.org/CVERecord?id=CVE-2024-46992,https://github.com/electron/electron/tree/c41a28d7c850df00118b31aec67b0941cd0471eb,https://github.com/electron/electron/security/advisories/GHSA-xw5q-g62x-2qjc,,,,,"Lack of a dedicated test folder; this CVE is an unauthorized-access vulnerability reported externally, reflecting insufficient testing capability",,,1,The most important developer is no longer active,1,,,
repo:academysoftwarefoundation/openimageio,2173,https://github.com/AcademySoftwareFoundation/OpenImageIO,7.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 4.0, 'Code-Review': 4.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 6.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 10.0}",3,9.03,https://www.cve.org/CVERecord?id=CVE-2024-55195; https://www.cve.org/CVERecord?id=CVE-2024-55192; https://www.cve.org/CVERecord?id=CVE-2024-55194,https://github.com/AcademySoftwareFoundation/OpenImageIO/tree/101f9508e15207598fc333e370adbfacee955f87,https://github.com/AcademySoftwareFoundation/OpenImageIO/issues/4553; https://github.com/AcademySoftwareFoundation/OpenImageIO/issues/4550; https://github.com/AcademySoftwareFoundation/OpenImageIO/issues/4552,,,,,,1,,,There is only one main developer,,,,
repo:rpgp/rpgp,944,https://github.com/rpgp/rpgp,7.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 4.0, 'Code-Review': 8.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 10.0}",2,7.5,https://www.cve.org/CVERecord?id=CVE-2024-53856; https://www.cve.org/CVERecord?id=CVE-2024-53857,https://github.com/rpgp/rpgp/tree/ab25cb4736405e7473a75e6ebd6c45e19889fdd2,https://github.com/rpgp/rpgp/security/advisories/GHSA-9rmp-2568-59rv; https://github.com/rpgp/rpgp/security/advisories/GHSA-4grw-m28r-q285,,1,Low commit frequency; the community is not very active,,,1,,,,,1,1,This CVE was reported externally
repo:kyverno/kyverno,6932,https://github.com/kyverno/kyverno,7.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 9.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 0.0}",3,8.33,https://www.cve.org/CVERecord?id=CVE-2024-48921; https://www.cve.org/CVERecord?id=CVE-2025-47281; https://www.cve.org/CVERecord?id=CVE-2025-46342,https://github.com/kyverno/kyverno/tree/f69925024695827036075a6acd3e966cb5854d9a,https://github.com/kyverno/kyverno/security/advisories/GHSA-qjvc-p88j-j9rm; https://github.com/kyverno/kyverno/security/advisories/GHSA-r5p3-955p-5ggq; https://github.com/kyverno/kyverno/commit/cbd7d4ca24de1c55396fc3295e9fc3215832be7c; https://github.com/kyverno/kyverno/security/advisories/GHSA-jrr2-x33p-6hvc; https://github.com/kyverno/kyverno/commit/3ff923b7756e1681daf73849954bd88516589194,,,,,,1,,1,,1,,,Lack of error propagation and parameter checking caused the CVE vulnerability
repo:yt-dlp/yt-dlp,128980,https://github.com/yt-dlp/yt-dlp,7.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 4.0, 'Code-Review': 7.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 0.0, 'Token-Permissions': 9.0, 'Vulnerabilities': 9.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2025-54072,https://github.com/yt-dlp/yt-dlp/tree/7e41628ff523b3fe373b0981a5db441358980dab,https://github.com/yt-dlp/yt-dlp/security/advisories/GHSA-45hg-7f49-5h56; https://github.com/yt-dlp/yt-dlp/commit/959ac99e98c3215437e573c22d64be42d361e863; https://github.com/yt-dlp/yt-dlp/releases/tag/2025.07.21,,,,,Missing filtering mechanism caused a bypass CVE vulnerability,1,,1,,,,,
repo:apollographql/apollo-rs,593,https://github.com/apollographql/apollo-rs,7.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 2.0, 'Code-Review': 9.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 10.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2025-31496,https://github.com/apollographql/apollo-rs/tree/6aa62a55ee6cd43cd9cf7dc23960d68ac96c93ea,https://github.com/apollographql/apollo-rs/security/advisories/GHSA-7mpv-9xg6-5r79; https://github.com/apollographql/apollo-rs/pull/952,,,Very few issues; the community is not very active,,,1,,1,Several main developers are gradually becoming inactive,,,,Compiler overhead issue caused a DoS CVE vulnerability
repo:tukaani-project/xz,835,https://github.com/tukaani-project/xz,7.2,"{'Binary-Artifacts': 10.0, 'Code-Review': 0.0, 'License': 9.0, 'Security-Policy': 10.0, 'Vulnerabilities': 9.0}",1,8.7,https://www.cve.org/CVERecord?id=CVE-2025-31115,https://github.com/tukaani-project/xz/tree/5e375987509fab484b7bef0b90be92f241c58c91,https://github.com/tukaani-project/xz/security/advisories/GHSA-6cc8-p5mm-29w2; https://github.com/tukaani-project/xz/commit/d5a2ffe41bb77b918a8c96084885d4dbe4bf6480,1,1,Low commit frequency; very few issues; the community is not very active,,,1,1,,,,,,This CVE is a crash issue caused by improper handling of invalid input
repo:eclipse-omr/omr,967,https://github.com/eclipse-omr/omr,7.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 6.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 8.0}",1,7.1,https://www.cve.org/CVERecord?id=CVE-2025-1471,https://github.com/eclipse-omr/omr/tree/31b912e5210bea15c4f8ef3630a34d79ba0aca11,https://github.com/eclipse-omr/omr/pull/7658,,,,,"This CVE is a crash issue caused by improper handling of buffer overflows, reflecting limitations of the test files",,,1,Several main developers have left; repo activity has declined,,1,1,
repo:cacti/cacti,1759,https://github.com/Cacti/cacti,7.2,"{'Binary-Artifacts': 10.0, 'Code-Review': 0.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 7.0}",6,7.92,https://www.cve.org/CVERecord?id=CVE-2024-43362; https://www.cve.org/CVERecord?id=CVE-2024-43363; https://www.cve.org/CVERecord?id=CVE-2024-54146; https://www.cve.org/CVERecord?id=CVE-2025-26520; https://www.cve.org/CVERecord?id=CVE-2025-22604; https://www.cve.org/CVERecord?id=CVE-2025-24367,https://github.com/Cacti/cacti/tree/eca52c6bb3e76c55d66b1040baa6dbf37471a0ae,https://github.com/Cacti/cacti/security/advisories/GHSA-wh9c-v56x-v77c; https://github.com/Cacti/cacti/security/advisories/GHSA-gxq4-mv8h-6qj4; https://github.com/Cacti/cacti/security/advisories/GHSA-vj9g-p7f2-4wqj; https://github.com/Cacti/cacti/commit/c7e4ee798d263a3209ae6e7ba182c7b65284d8f0; https://github.com/Cacti/cacti/pull/6096; https://github.com/Cacti/cacti/commit/7fa60c03ad4a69c701ac6b77c85a8927df7acd51; https://github.com/Cacti/cacti/security/advisories/GHSA-c5j8-jxj3-hh36; https://github.com/Cacti/cacti/commit/c7e4ee798d263a3209ae6e7ba182c7b65284d8f0; https://github.com/Cacti/cacti/security/advisories/GHSA-fxrq-fr7h-9rqq; https://github.com/Cacti/cacti/commit/c7e4ee798d263a3209ae6e7ba182c7b65284d8f0,,,,,,1,,1,Only one of the main developers remains active,1,,,"Multiple SQL injection, XSS and other attacks were reported within a year, reflecting systematic security management issues in this library"
repo:fastify/fastify-multipart,522,https://github.com/fastify/fastify-multipart,7.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 5.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 10.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2025-24033,https://github.com/fastify/fastify-multipart/tree/cd747de0c2b280fda475a3dc82876668ec594895,https://github.com/fastify/fastify-multipart/security/advisories/GHSA-27c6-mcxv-x3fh; https://github.com/fastify/fastify-multipart/issues/546; https://github.com/fastify/fastify-multipart/pull/567,,1,Low commit frequency; the community is not very active,,,1,,1,,,,,"A CVE where stopping uploads does not delete temporary files, reflecting insufficient exception handling"
repo:git-ecosystem/git-credential-manager,8125,https://github.com/git-ecosystem/git-credential-manager,7.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 9.0}",1,7.4,https://www.cve.org/CVERecord?id=CVE-2024-50338,https://github.com/git-ecosystem/git-credential-manager/tree/415adfe4019414bee9630f39ff672ef7a4f350e8,https://github.com/git-ecosystem/git-credential-manager/security/advisories/GHSA-86c2-4x57-wc8g; https://github.com/dotnet/runtime/blob/e476b43b5cb42eb44ce23b1c7b793aa361624cf6/src/libraries/System.Private.CoreLib/src/System/IO/StreamReader.cs#L926; https://github.com/git-ecosystem/git-credential-manager/blob/ae009e11a0fbef804ad9f78816d84a0bc7e052fe/src/shared/Core/StreamExtensions.cs#L138-L141; https://github.com/git-ecosystem/git-credential-manager/compare/749e287571c78a2b61f926ccce6a707050871ab8...99e2f7f60e7364fe807e7925f361a81f3c47bd1b; https://github.com/git-ecosystem/git-credential-manager/releases/tag/v2.6.1; https://github.com/git/git/blob/6a11438f43469f3815f2f0fc997bd45792ff04c0/credential.c#L311,,1,Low commit frequency; the community is not very active,,,1,,1,,,,1,"Some issues were hit by lots of spam; the CVE is that a specific input format causes parsing errors, related to functionality/implementation"
repo:pluginsglpi/fields,100,https://github.com/pluginsGLPI/fields,7.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 8.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 6.0}",1,7.7,https://www.cve.org/CVERecord?id=CVE-2024-45600,https://github.com/pluginsGLPI/fields/tree/9d52c712d70eff9581b84322a4d0f22e71135b34,https://github.com/pluginsGLPI/fields/security/advisories/GHSA-wwxw-64g6-2992; https://github.com/pluginsGLPI/fields/commit/eb927b0f084ee4ef6c87ab2eb7a15e99369e74ae#diff-a7024a397fba9a026157683da73cc675ec6b73bd900374b3836bcdc76ec7bd5cR1166,,1,Low commit frequency; the community is not very active,,,1,,1,The most important developer is no longer active,,1,,"SQL injection attacks, reflecting security management issues in this library"
repo:contao/contao,386,https://github.com/contao/contao,7.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 9.0, 'Code-Review': 6.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,8.3,https://www.cve.org/CVERecord?id=CVE-2024-45398,https://github.com/contao/contao/tree/0e394411a1e4cd9384059ee17a9cb8f2cc0dec75,https://github.com/contao/contao/security/advisories/GHSA-vm6r-j788-hjh5,,,,,,1,,,,1,,,"Many unauthorized-access and remote code execution vulnerabilities, reflecting systematic security management issues in this library"
repo:libvips/libvips,10698,https://github.com/libvips/libvips,7.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 5.0, 'License': 10.0, 'Security-Policy': 0.0, 'Vulnerabilities': 9.0}",1,8.5,https://www.cve.org/CVERecord?id=CVE-2025-29769,https://github.com/libvips/libvips/tree/f801ed6cc47f31f611008dca3847e48b29dc2573,https://github.com/libvips/libvips/security/advisories/GHSA-f8r8-43hh-rghm; https://github.com/libvips/libvips/pull/4392; https://github.com/libvips/libvips/pull/4394; https://github.com/libvips/libvips/commit/9ab6784f693de50b00fa535b9efbbe9d2cbf71f2,,,,,,1,,,,,,,"The CVE comes from incorrect judgment of the input channel, i.e., improper exception handling"
repo:containers/crun,3582,https://github.com/containers/crun,7.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 2.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 9.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 9.0}",1,8.5,https://www.cve.org/CVERecord?id=CVE-2025-24965,https://github.com/containers/crun/tree/7dba7fc11f075fa79c2101505f43dd12af582804,https://github.com/containers/crun/security/advisories/GHSA-f42g-r5jj-qh4j; https://github.com/containers/crun/commit/0aec82c2b686f0b1793deed43b46524fe2e8b5a7; https://github.com/containers/crun/releases/tag/1.20,,,,,,1,,,,,,,"The CVE is that malware misleads krun to write files, stemming from permission management and improper input handling"
repo:collaboraonline/online,2468,https://github.com/CollaboraOnline/online,7.1,"{'Binary-Artifacts': 9.0, 'CI-Tests': 10.0, 'Code-Review': 7.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 10.0}",1,8.3,https://www.cve.org/CVERecord?id=CVE-2025-27791,https://github.com/CollaboraOnline/online/tree/b4906376ff78ff18086735ee130ab311e35e2090,https://github.com/CollaboraOnline/online/security/advisories/GHSA-9j32-gg3j-8w25,,,,,,,,1,,1,1,1,Many open issues are unresolved; the CVE is path traversal plus read/write permission vulnerabilities
repo:python-pillow/pillow,13103,https://github.com/python-pillow/Pillow,7.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 9.0, 'Code-Review': 6.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,7.1,https://www.cve.org/CVERecord?id=CVE-2025-48379,https://github.com/python-pillow/Pillow/tree/f246be7b13867d6c85f01e38b5d14b093ace66c7,https://github.com/python-pillow/Pillow/security/advisories/GHSA-xg8h-j46f-w952; https://github.com/python-pillow/Pillow/pull/9041; https://github.com/python-pillow/Pillow/commit/ef98b3510e3e4f14b547762764813d7e5ca3c5a4; https://github.com/python-pillow/Pillow/releases/tag/11.3.0,,,,1,Limited test-script capability; this CVE stems from an overflow due to not checking available space,1,,1,,,,,
repo:spotify/luigi,18508,https://github.com/spotify/luigi,7.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 1.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 9.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 9.0}",1,8.6,https://www.cve.org/CVERecord?id=CVE-2024-21542,https://github.com/spotify/luigi/tree/5433b521244e2eee5dacd3e6dd275951037eb419,https://github.com/spotify/luigi/issues/3301; https://github.com/spotify/luigi/commit/b5d1b965ead7d9f777a3216369b5baf23ec08999; https://github.com/spotify/luigi/releases/tag/v3.6.0; https://github.com/L3ster1337/Poc-CVE-2024-21542,,1,Low commit frequency; the community is not very active,,,1,,,Several main developers have stopped being active,,,1,Many open issues are unresolved; few issues were fixed in the last year; maintenance is clearly insufficient
repo:facebook/mvfst,1595,https://github.com/facebook/mvfst,7.1,"{'Binary-Artifacts': 10.0, 'Code-Review': 7.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 9.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,8.1,https://www.cve.org/CVERecord?id=CVE-2025-30403,https://github.com/facebook/mvfst/tree/eda260cc8646b8e0cffbc0fae5c0353ffac18cc3,https://github.com/facebook/mvfst/commit/65b297332191de6e867c4a3139a233fc84c0e7e0,,,Very few issues; the community is not very active,1,Lack of a dedicated test folder; this CVE was reported externally; a crafted response caused a DoS CVE vulnerability,1,,1,Several main developers have left; repo activity has declined,,,1,Internal/external repository situation: the main repo may not be on GitHub; inactive users may simply have left their positions
repo:librenms/librenms,4399,https://github.com/librenms/librenms,7,"{'Binary-Artifacts': 10.0, 'CI-Tests': 9.0, 'Code-Review': 5.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",6,7.45,https://www.cve.org/CVERecord?id=CVE-2024-47523; https://www.cve.org/CVERecord?id=CVE-2024-47524; https://www.cve.org/CVERecord?id=CVE-2024-47527; https://www.cve.org/CVERecord?id=CVE-2024-47525; https://www.cve.org/CVERecord?id=CVE-2024-49754; https://www.cve.org/CVERecord?id=CVE-2025-54138,https://github.com/librenms/librenms/tree/32993a37d99b05630e2873bb805a4e78ed981588,https://github.com/librenms/librenms/security/advisories/GHSA-7f84-28qh-9486; https://github.com/librenms/librenms/commit/ee1afba003d33667981e098c83295f599d88439c; https://github.com/librenms/librenms/blob/4777247327c793ed0a3306d0464b95176008177b/includes/html/print-alert-transports.php#L40; https://github.com/librenms/librenms/security/advisories/GHSA-fc38-2254-48g7; https://github.com/librenms/librenms/commit/d3b51560a8e2343e520d16e9adc72c6951aa91ee; https://github.com/librenms/librenms/security/advisories/GHSA-rwwc-2v8q-gc9v; https://github.com/librenms/librenms/commit/36b38a50cc10d4ed16caab92bdc18ed6abac9685; https://github.com/librenms/librenms/security/advisories/GHSA-j2j9-7pr6-xqwv; https://github.com/librenms/librenms/commit/7620d220e48563938d869da7689b8ac3f7721490; https://github.com/librenms/librenms/blob/9455173edce6971777cf6666d540eeeaf6201920/includes/html/print-alert-rules.php#L405; https://github.com/librenms/librenms/security/advisories/GHSA-gfwr-xqmj-j27v; https://github.com/librenms/librenms/commit/25988a937cbaebd2ba4c0517510206c404dfb359; https://github.com/librenms/librenms/security/advisories/GHSA-gq96-8w38-hhj2; https://github.com/librenms/librenms/pull/17990; https://github.com/librenms/librenms/commit/ec89714d929ef0cf2321957ed9198b0f18396c81; https://github.com/librenms/librenms/releases/tag/25.7.0,,,,,,1,,1,,1,,1,"Systematic vulnerability hunting behavior found multiple XSS vulnerabilities, reflecting security management issues in this library"
repo:oisf/suricata,5643,https://github.com/OISF/suricata,7,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 6.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 1.0}",9,7.5,https://www.cve.org/CVERecord?id=CVE-2024-47188; https://www.cve.org/CVERecord?id=CVE-2024-47522; https://www.cve.org/CVERecord?id=CVE-2024-47187; https://www.cve.org/CVERecord?id=CVE-2024-45795; https://www.cve.org/CVERecord?id=CVE-2024-55605; https://www.cve.org/CVERecord?id=CVE-2024-55628; https://www.cve.org/CVERecord?id=CVE-2024-55629; https://www.cve.org/CVERecord?id=CVE-2025-29915; https://www.cve.org/CVERecord?id=CVE-2025-53538,https://github.com/OISF/suricata/tree/685baa9680c98acb4cdf35b77186600d6f582b8b,https://github.com/OISF/suricata/security/advisories/GHSA-qq5v-qcjx-f872; https://github.com/OISF/suricata/security/advisories/GHSA-w5xv-6586-jpm7; https://github.com/OISF/suricata/security/advisories/GHSA-64ww-4f6x-863p; https://github.com/OISF/suricata/security/advisories/GHSA-6r8w-fpw6-cp9g; https://github.com/OISF/suricata/security/advisories/GHSA-x2hr-33vp-w289; https://github.com/OISF/suricata/security/advisories/GHSA-96w4-jqwf-qx2j; https://github.com/OISF/suricata/commit/19cf0f81335d9f787d587450f7105ad95a648951; https://github.com/OISF/suricata/commit/37f4c52b22fcdde4adf9b479cb5700f89d00768d; https://github.com/OISF/suricata/commit/3a5671739f5b25e5dd973a74ca5fd8ea40e1ae2d; https://github.com/OISF/suricata/security/advisories/GHSA-69wr-vhwg-84h2; https://github.com/OISF/suricata/commit/6882bcb3e51bd3cf509fb6569cc30f48d7bb53d7; https://github.com/OISF/suricata/commit/779f9d8ba35c3f9b5abfa327d3a4209861bd2eb8; https://github.com/OISF/suricata/security/advisories/GHSA-7m5c-cqx4-x8mp; https://github.com/OISF/suricata/commit/d78f2c9a4e2b59f44daeddff098915084493d08d; https://github.com/OISF/suricata/security/advisories/GHSA-qrr7-crgj-cmh3; https://github.com/OISF/suricata/commit/1d6d331752e933c46aca0ae7a9679b27462246e3; https://github.com/OISF/suricata/commit/7fa88ea9e7d05e07a7864050cfd836b576669720,,,,,,1,,,,1,,,No place to submit issues; multiple CVEs in memory read/write and allocation indicate systemic security problems
repo:external-secrets/external-secrets,5915,https://github.com/external-secrets/external-secrets,7,"{'Binary-Artifacts': 10.0, 'CI-Tests': 7.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 9.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 0.0}",2,7.7,https://www.cve.org/CVERecord?id=CVE-2024-45041; https://www.cve.org/CVERecord?id=CVE-2025-55196,https://github.com/external-secrets/external-secrets/tree/a861de4f659160838fba43708215fe523c497e35,https://github.com/external-secrets/external-secrets/security/advisories/GHSA-qwgc-rr35-h4x9; https://github.com/external-secrets/external-secrets/commit/428a452fd2ad45935312f2c2c0d40bc37ce6e67c; https://github.com/external-secrets/external-secrets/security/advisories/GHSA-fcxq-v2r3-cc8h; https://github.com/external-secrets/external-secrets/pull/5109; https://github.com/external-secrets/external-secrets/pull/5133; https://github.com/external-secrets/external-secrets/commit/39cdba5863533007b582dc63dd300839326b2f1d; https://github.com/external-secrets/external-secrets/commit/de40e8f4fa9559c1d770bb674589b285da5ef2d1,,,,1,Lack of a dedicated test folder; this CVE was reported externally; lack of namespace checks,1,,,,,1,,Lack of namespace restrictions caused the CVE vulnerability
repo:runatlantis/atlantis,8531,https://github.com/runatlantis/atlantis,7,"{'Binary-Artifacts': 10.0, 'CI-Tests': 8.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 8.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 0.0}",1,8.5,https://www.cve.org/CVERecord?id=CVE-2024-52009,https://github.com/runatlantis/atlantis/tree/0856e40a64a02cd020d231bba914e95274da8430,https://github.com/runatlantis/atlantis/security/advisories/GHSA-gppm-hq3p-h4rp; https://github.com/runatlantis/atlantis/issues/4060; https://github.com/runatlantis/atlantis/pull/4667; https://github.com/runatlantis/atlantis/releases/tag/v0.30.0,,,,,,,,1,,,1,1,Many open issues are unresolved; the CVE stems from improper handling of private data such as logs
