repo,Stars,URL,Scorecard Score,Detailed Score,CVE Count,Average CVE Score,CVE Links,GitHub Commit (2024-09-01),CVE GitHub References,Commit / code contribution volume issues,Code submission frequency / update frequency issues,Meta Data-Other,Low test coverage / insufficient test suite capability,Test-Other,High developer concentration,Few new developers,Severe developer attrition,Developer-Other,High total vulnerability count (can directly refer to the repo’s security items),Takes a long time to resolve or close an issue / high labor cost,Too Many Open Issues,Issue-Other
repo:keras-team/keras,63437,https://github.com/keras-team/keras,7.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 8.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 9.0, 'Vulnerabilities': 0.0}",2,7.95,https://www.cve.org/CVERecord?id=CVE-2025-8747; https://www.cve.org/CVERecord?id=CVE-2025-1550,https://github.com/keras-team/keras/tree/8b1ca959bd23d68848eed58f337cf3d25b00f9aa,https://github.com/keras-team/keras/pull/21429; https://github.com/keras-team/keras/pull/20751,,,,,,1,,1,One of the main developers is gradually becoming inactive,,,,API model loading allows arbitrary code execution
repo:rommapp/romm,6550,https://github.com/rommapp/romm,7.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 8.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",2,8.85,https://www.cve.org/CVERecord?id=CVE-2025-54071; https://www.cve.org/CVERecord?id=CVE-2025-53908,https://github.com/rommapp/romm/tree/c76169454df99ad85dd5ef998fe617977d458b64,https://github.com/rommapp/romm/security/advisories/GHSA-fgxf-hggc-qqmq; https://github.com/rommapp/romm/commit/89248d03805e5fabca78443dd202ff32e0b4d9f3; https://github.com/rommapp/romm/security/advisories/GHSA-fx9g-xw4j-jwc3; https://github.com/rommapp/romm/commit/7c94cb05e74ddb6a6af7b82320686c01754e9966; https://github.com/rommapp/romm/commit/baa1a9759079c36e36a9f10c920c46b57d0b6151; https://github.com/rommapp/romm/blob/4.0.0-beta.2/backend/endpoints/raw.py#L31,,,,,,3,1,1,One of the main developers is gradually becoming inactive,,,,"CVEs revolve around execution and permission issues, reflecting the team’s lack of relevant experience"
repo:envoyproxy/gateway,2114,https://github.com/envoyproxy/gateway,7.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 9.0, 'Security-Policy': 0.0, 'Token-Permissions': 9.0, 'Vulnerabilities': 0.0}",1,7.1,https://www.cve.org/CVERecord?id=CVE-2025-24030,https://github.com/envoyproxy/gateway/tree/c20315f554e9522b9f98f337dcb5747b1e8f3495,https://github.com/envoyproxy/gateway/security/advisories/GHSA-j777-63hf-hx76; https://github.com/envoyproxy/gateway/commit/3eb3301ab3dbf12b201b47bdb6074d1233be07bd,,,,1,The test files are relatively thin/shallow,,,,,,,,
repo:limesurvey/limesurvey,3362,https://github.com/LimeSurvey/LimeSurvey,7.4,"{'Binary-Artifacts': 9.0, 'CI-Tests': 1.0, 'Code-Review': 3.0, 'License': 9.0, 'Security-Policy': 10.0, 'Vulnerabilities': 10.0}",1,8.8,https://www.cve.org/CVERecord?id=CVE-2024-42902,https://github.com/LimeSurvey/LimeSurvey/tree/d2ef86cea52313750ed77d0bcf875d27551a8d97,https://github.com/LimeSurvey/LimeSurvey/blob/6434b12ded1c4b6516200c453441d0896e11eee0/vendor/kcfinder/js_localize.php#L19; https://github.com/sysentr0py/CVEs/tree/main/CVE-2024-42902,,1,Low commit frequency; the community is not very active,,,,,1,,,,,The project has no place to submit issues
repo:craftcms/cms,3483,https://github.com/craftcms/cms,7.4,"{'Binary-Artifacts': 10.0, 'CI-Tests': 4.0, 'Code-Review': 2.0, 'License': 9.0, 'Security-Policy': 10.0, 'Vulnerabilities': 9.0}",7,8.3,https://www.cve.org/CVERecord?id=CVE-2024-56145; https://www.cve.org/CVERecord?id=CVE-2024-52292; https://www.cve.org/CVERecord?id=CVE-2024-52291; https://www.cve.org/CVERecord?id=CVE-2024-52293; https://www.cve.org/CVERecord?id=CVE-2025-23209; https://www.cve.org/CVERecord?id=CVE-2025-46731; https://www.cve.org/CVERecord?id=CVE-2025-32432,https://github.com/craftcms/cms/tree/861123e2bb54fad2b810e2c26042cc00f38f110b,https://github.com/craftcms/cms/security/advisories/GHSA-2p6p-9rc9-62j9; https://github.com/craftcms/cms/commit/82e893fb794d30563da296bca31379c0df0079b3; https://github.com/craftcms/cms/security/advisories/GHSA-cw6g-qmjq-6w2w; https://github.com/craftcms/cms/security/advisories/GHSA-jrh5-vhr9-qh7q; https://github.com/craftcms/cms/security/advisories/GHSA-f3cw-hg6r-chfv; https://github.com/craftcms/cms/commit/123e48a696de1e2f63ab519d4730eb3b87beaa58; https://github.com/craftcms/cms/security/advisories/GHSA-x684-96hh-833x; https://github.com/craftcms/cms/commit/e59e22b30c9dd39e5e2c7fe02c147bcbd004e603; https://github.com/craftcms/cms/security/advisories/GHSA-7c58-g782-9j38; https://github.com/craftcms/cms/security/advisories/GHSA-f3cw-hg6r-chfv; http://github.com/craftcms/cms/pull/17026; https://github.com/craftcms/cms/security/advisories/GHSA-f3gw-9ww9-jmc3; https://github.com/craftcms/cms/commit/e1c85441fa47eeb7c688c2053f25419bc0547b47; https://github.com/craftcms/cms/blob/3.x/CHANGELOG.md#3915---2025-04-10-critical; https://github.com/craftcms/cms/blob/4.x/CHANGELOG.md#41415---2025-04-10-critical; https://github.com/craftcms/cms/blob/5.x/CHANGELOG.md#5617---2025-04-10-critical,,,,,,1,,1,,1,,,Remote vulnerabilities and remote code execution CVEs
repo:ericsson/codechecker,2457,https://github.com/Ericsson/codechecker,7.4,"{'Binary-Artifacts': 10.0, 'CI-Tests': 2.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",3,8.97,https://www.cve.org/CVERecord?id=CVE-2024-10082; https://www.cve.org/CVERecord?id=CVE-2024-10081; https://www.cve.org/CVERecord?id=CVE-2024-53829,https://github.com/Ericsson/codechecker/tree/c513c78e04e218fe0852177cfe2c385a08d9c2f1,https://github.com/Ericsson/codechecker/security/advisories/GHSA-fpm5-2wcj-vfr7; https://github.com/Ericsson/codechecker/security/advisories/GHSA-f3f8-vx3w-hp5q; https://github.com/Ericsson/codechecker/security/advisories/GHSA-f8c8-4pm7-w885,,,,1,"Limited test scripts; not many relevant tests found; a URL with a specific ending causes unauthorized operations, reflecting lack of relevant tests and checks",1,,1,One of the main developers is no longer active,,,1,
repo:cloudflare/pingora,25175,https://github.com/cloudflare/pingora,7.4,"{'Binary-Artifacts': 10.0, 'CI-Tests': 6.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 9.0}",1,7.4,https://www.cve.org/CVERecord?id=CVE-2025-4366,https://github.com/cloudflare/pingora/tree/acffb8aaf2a76e3ab8a4db698ed2f151cfb64566,https://github.com/cloudflare/pingora,,,,1,Lack of a dedicated test folder; this CVE was reported externally,1,,1,The second main developer is gradually becoming inactive,,,1,
repo:argoproj/argo-events,2561,https://github.com/argoproj/argo-events,7.4,"{'Binary-Artifacts': 9.0, 'CI-Tests': 0.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 3.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,10,https://www.cve.org/CVERecord?id=CVE-2025-32445,https://github.com/argoproj/argo-events/tree/024cf339efc5b65f40c3ecd2626fd800185dc3f2,https://github.com/argoproj/argo-events/security/advisories/GHSA-hmp7-x699-cvhq; https://github.com/argoproj/argo-events/commit/18412293a699f559848b00e6e459c9ce2de0d3e2,,1,Low commit frequency; the community is not very active,1,Limited test scripts,1,,1,Several main developers are gradually becoming inactive,,,1,
repo:wolfssl/wolfssl,2610,https://github.com/wolfSSL/wolfssl,7.4,"{'Binary-Artifacts': 10.0, 'CI-Tests': 9.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 8.0}",2,8.1,https://www.cve.org/CVERecord?id=CVE-2025-7394; https://www.cve.org/CVERecord?id=CVE-2025-7395,https://github.com/wolfSSL/wolfssl/tree/70caed572a8cfd18b3e62c1158aa5302353dd56e,https://github.com/wolfSSL/wolfssl/blob/master/ChangeLog.md#wolfssl-release-582-july-17-2025; http://github.com/wolfssl/wolfssl.git,,,,,Limited test-script capability; this CVE was reported externally; on certain platforms incorrect certificate chain coverage caused the CVE vulnerability,,,,,,1,,
repo:martinvonz/jj,20578,https://github.com/martinvonz/jj,7.3,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 0.0}",1,9.3,https://www.cve.org/CVERecord?id=CVE-2024-51990,https://github.com/jj-vcs/jj/tree/781351e4d0024bedf0b09dd416ca9b0977b12b69,https://github.com/martinvonz/jj/security/advisories/GHSA-88h5-6w7m-5w56,,,,,,1,,,,,1,,Many open issues are not closed; design/implementation issues caused a CVE vulnerability that writes files outside of clone
